ID,AUTHOR NAME,BOOK/SERIES NAME,BOOKS PLEDGED,Link Submitted,Link Type,Submitted ASIN type,Submitted ASIN (Clean),Ebook 1 ASIN,Clean Amazon US link,Direct?,Direct link,International?,Wide?,Image URL (for Rose's use),Kobo Link,Smashwords Link,Google Play Link,Apple Books Link,Barnes & Noble Link
1,BRYCE O'CONNOR,The Wings of War,5,https://www.amazon.com/dp/B074C9LJT4,Amazon,Series,B074C9LJT4,B019ABWGJC,https://www.amazon.com/dp/B019ABWGJC,FALSE,,FALSE,FALSE,"https://m.media-amazon.com/images/I/91OH+3iwEML._CLa|3045,2560|9152kgqRPVL.jpg,81D7UpX5HeL.jpg|0,0,1384,2560+1661,0,1384,2560+692,0,1661,2560_._SY300_.jpg",,,,,
2,BRYCE O'CONNOR,The Shattered Reigns,2,https://www.amazon.com/dp/B082MGDS7X,Amazon,Series,B082MGDS7X,B07R818YQ3,https://www.amazon.com/dp/B07R818YQ3,FALSE,,FALSE,FALSE,"https://m.media-amazon.com/images/I/81clwuvCphL._CLa%7C3208,2400%7C81FSDD454QL.jpg%7C0,0,1600,2400+1608,0,1600,2400_._SY300_.jpg",,,,,
3,BRYCE O'CONNOR,Stormweaver,2,https://www.amazon.com/dp/B08KGT4CLQ,Amazon,Ebook,B08KGT4CLQ,B08KGT4CLQ,https://www.amazon.com/dp/B08KGT4CLQ,FALSE,,FALSE,FALSE,,,,,,
4,T L GREYLOCK & BRYCE O'CONNOR,The Godforged Chronicles,2,https://www.amazon.com/dp/B08DHS3L72,Amazon,Series,B08DHS3L72,B08BS251QL,https://www.amazon.com/dp/B08BS251QL,FALSE,,FALSE,FALSE,"https://m.media-amazon.com/images/I/81KXLz0zCBL._CLa%7C3420,2560%7C91SJS7hpcjL.jpg%7C0,0,1706,2560+1714,0,1706,2560_._SY300_.jpg",,,,,
5,DANIEL B. GREENE,A Witch's Sin,1,https://www.amazon.com/dp/B0C4C36WF7,Amazon,Ebook,B0C4C36WF7,B0C4C36WF7,https://www.amazon.com/dp/B0C4C36WF7,FALSE,,FALSE,TRUE,,https://www.kobo.com/en/ebook/a-witch-s-sin-1,,https://play.google.com/store/books/details/Daniel_B_Greene_A_Witch_s_Sin?id=aGCSEQAAQBAJ,https://books.apple.com/book/a-witchs-sin/id6754561362,https://www.barnesandnoble.com/w/a-witchs-sin-daniel-b-greene/1148609106?ean=2940185190814
6,LUKE CHMILENKO & GD PENMAN,Savage Dominion,3,https://www.amazon.com/dp/B0CHQXCV6T,Amazon,Series,B0CHQXCV6T,B08RSNK38B,https://www.amazon.com/dp/B08RSNK38B,FALSE,,FALSE,FALSE,"https://m.media-amazon.com/images/I/91JmE-mXqZS._CLa%7C2933,2400%7C91OcxQKLsqL.jpg,91uIWpCi+EL.jpg%7C0,0,1333,2400+1600,0,1333,2400+666,0,1600,2400_._SY300_.jpg",,,,,
7,LUKE CHMILENKO & GD PENMAN,Wraithblade,3,https://www.amazon.com/dp/B09CN5MXKQ,Amazon,Series,B09CN5MXKQ,B09237SG4H,https://www.amazon.com/dp/B09237SG4H,FALSE,,FALSE,FALSE,"https://m.media-amazon.com/images/I/81raK0UVL7L._CLa%7C2933,2400%7C81TlobcFSWL.jpg,81mNtWgt3QL.jpg%7C0,0,1333,2400+1600,0,1333,2400+666,0,1600,2400_._SY300_.jpg",,,,,
8,JEREMY BAI,Requiem for the Stars,1,https://www.amazon.com/dp/B0D9WPFTGV,Amazon,Ebook,B0D9WPFTGV,B0D9WPFTGV,https://www.amazon.com/dp/B0D9WPFTGV,FALSE,,FALSE,FALSE,,,,,,
9,JEREMY BAI,Heirs of Sun and Storm,2,https://www.amazon.com/dp/B09K48T297,Amazon,Series,B09K48T297,B09K47FBK4,https://www.amazon.com/dp/B09K47FBK4,FALSE,,FALSE,FALSE,"https://m.media-amazon.com/images/I/8155KUTpd6L._CLa%7C3422,2560%7C815bPLyLqeL.jpg%7C0,0,1707,2560+1715,0,1707,2560_._SY300_.jpg",,,,,
10,PHIL TUCKER,Chronicles of the Black Gate: Omnibus,5,https://www.amazon.com/dp/B09HHQ47WN,Amazon,Ebook,B09HHQ47WN,B09HHQ47WN,https://www.amazon.com/dp/B09HHQ47WN,FALSE,,FALSE,FALSE,,,,,,
11,BEN GALLEY,Emaneska,4,https://www.amazon.com/dp/B09VRB38LB,Amazon,Ebook,B09VRB38LB,B09VRB38LB,https://www.amazon.com/dp/B09VRB38LB,FALSE,,FALSE,FALSE,,,,,,
