ID,AUTHOR NAME,BOOK/SERIES NAME,BOOKS PLEDGED,LINK MUST END IN ASIN,Clean ASIN,Clean Amazon US Link,Wide?,SPFBO/SPSFC?,SPFBO/SPSFC Cohort,Direct?,Direct link,Books available Internationally,International?,Image URL (for Rose's use),Kobo Link,Smashwords Link,Google Play Link,Apple Books Link,Barnes & Noble Link
56,LAURA HUIE,The Sunset Sovereign: A Dragon's Memoir,1,https://www.amazon.com/dp/B0CGP7Q6MF,B0CGP7Q6MF,https://www.amazon.com/dp/B0CGP7Q6MF,TRUE,TRUE,SPFBOX Semi-finalist,FALSE,,,TRUE,,https://www.kobo.com/en/ebook/the-sunset-sovereign-1,https://www.smashwords.com/books/view/1444190,,https://books.apple.com/book/the-sunset-sovereign-a-dragons-memoir/id6463829993,https://www.barnesandnoble.com/w/the-sunset-sovereign-laura-huie/1144295300?ean=2940186005780
57,PHIL WILLIAMS,Under Ordshaw,1,https://www.amazon.com/dp/B07CXYSZVN,B07CXYSZVN,https://www.amazon.com/dp/B07CXYSZVN,TRUE,TRUE,SPFBO4 Semi-finalist,TRUE,https://phil-williams.co.uk/product/under-ordshaw-ebook/,,FALSE,,https://www.kobo.com/en/ebook/under-ordshaw,https://www.smashwords.com/books/view/1256526,https://play.google.com/store/books/details/Phil_Williams_Under_Ordshaw?id=AwasEAAAQBAJ,https://books.apple.com/book/under-ordshaw/id6443268180,https://www.barnesandnoble.com/w/under-ordshaw-phil-williams/1129205591?ean=2940166705051
58,PHIL WILLIAMS,Kept From Cages,1,https://www.amazon.com/dp/B08GKZTCCV,B08GKZTCCV,https://www.amazon.com/dp/B08GKZTCCV,TRUE,TRUE,SPFBO7 Semi-finalist,TRUE,https://phil-williams.co.uk/product/kept-from-cages-ebook/,,FALSE,,https://www.kobo.com/en/ebook/kept-from-cages,https://www.smashwords.com/books/view/1256808,https://play.google.com/store/books/details/Phil_Williams_Kept_From_Cages?id=GQasEAAAQBAJ,https://books.apple.com/book/kept-from-cages/id64432710400,https://www.barnesandnoble.com/w/kept-from-cages-phil-williams/1137674393?ean=2940166698735
59,PHIL WILLIAMS,The City Screams,1,https://www.amazon.com/dp/B07P14DRKR,B07P14DRKR,https://www.amazon.com/dp/B07P14DRKR,TRUE,TRUE,SPFBO5,TRUE,https://phil-williams.co.uk/product/the-city-screams-ebook/,,FALSE,,https://www.kobo.com/en/ebook/the-city-screams,,https://play.google.com/store/books/details/Phil_Williams_The_City_Screams?id=UgasEAAAQBAJ,https://books.apple.com/book/the-city-screams/id15670919433,https://www.barnesandnoble.com/w/the-city-screams-phil-williams/1131138102?ean=2940166673138
60,N. C. SCRIMGEOUR,The Waystations Trilogy,3,https://www.amazon.com/dp/B09JB2LSSR,B09JB2LSSR,https://www.amazon.com/dp/B09JB2LSSR,FALSE,TRUE,SPSFC2 Semi-finalist,FALSE,,,TRUE,"https://m.media-amazon.com/images/I/81IXJEGVAkL._CLa%7C3025,2550%7C81Hp9rwrzTL.jpg,81l1A4s7upL.jpg%7C0,0,1375,2550+1650,0,1375,2550+687,0,1650,2550_._SY300_.jpg",,,,,
61,N. C. SCRIMGEOUR,Sea of Souls,1,https://www.amazon.com/dp/B0C412PFMX,B0C412PFMX,https://www.amazon.com/dp/B0C412PFMX,FALSE,FALSE,,FALSE,,,TRUE,,,,,,
62,DAWN CHAPMAN,Space Seasons ,1,https://www.amazon.com/gp/product/B0C2ZVKL9M,B0C2ZVKL9M,https://www.amazon.com/dp/B0C2ZVKL9M,FALSE,FALSE,,FALSE,,,TRUE,,,,,,
63,DAWN CHAPMAN,Tailspin ,1,https://www.amazon.com/dp/B0CBHG8S3Q,B0CBHG8S3Q,https://www.amazon.com/dp/B0CBHG8S3Q,FALSE,TRUE,SPSFC3,FALSE,,,TRUE,,,,,,
64,DAWN CHAPMAN,Puatera Online,1,https://www.amazon.com/dp/B079QTHJMY,B079QTHJMY,https://www.amazon.com/dp/B079QTHJMY,FALSE,FALSE,,FALSE,,,TRUE,,,,,,
65,DAWN CHAPMAN,Battle For Frelik,1,https://www.amazon.com/dp/B0CT8TXFLB,B0CT8TXFLB,https://www.amazon.com/dp/B0CT8TXFLB,FALSE,FALSE,,FALSE,,,TRUE,,,,,,
